BUYER_ID,frequency,recency,profit
21123,1,577,4
21124,1,577,4
21125,1,577,1
21126,2,577,8
21127,2,577,9
21128,1,577,1
21129,3,575,8
21130,1,577,6
21134,1,577,5
21135,1,577,4
21136,2,568,10
21137,4,150,5
21138,1,577,1
21139,1,577,1
21140,1,577,1
21141,1,577,2
21142,1,577,4
21144,1,577,9
21145,1,577,5
21146,1,577,4
21147,4,362,29
21148,1,577,6
21149,1,577,4
21151,1,577,6
21152,1,577,3
21154,1,577,4
21155,1,577,5
21156,1,577,4
21157,2,576,11
21158,19,22,173
21159,1,576,3
21160,1,577,3
21161,1,577,2
21162,1,577,4
21163,1,577,4
21164,1,577,2
21165,1,577,6
21167,1,577,1
21168,1,577,1
21169,4,67,18
21170,7,169,39
21171,5,568,28
21172,2,573,41
21173,1,577,5
21174,1,577,3
21176,2,575,4
21177,2,576,16
21178,2,577,11
21179,1,577,1
21181,1,576,2
21184,1,577,3
21187,1,577,6
21188,1,577,10
21190,6,435,22
21191,1,577,6
21192,1,577,9
21193,2,577,15
21194,1,577,11
21195,1,577,3
21197,1,577,3
21199,3,374,62
21201,1,577,2
21202,1,577,2
21204,1,577,1
21205,1,577,5
21206,1,577,7
21207,2,576,10
21208,1,577,7
21210,2,575,2
21211,1,577,10
21212,1,577,4
21213,1,577,5
21214,1,577,3
21215,2,576,2
21216,2,51,3
21218,13,374,32
21219,4,577,19
21220,1,577,2
21221,1,577,6
21222,1,577,3
21223,1,577,3
21241,1,543,5
21242,2,576,6
21244,1,576,1
21245,1,576,4
21246,1,576,1
21247,2,576,4
21250,1,576,4
21251,1,576,3
21254,1,576,6
21255,1,573,4
21258,9,1,31
21259,1,576,5
21262,1,576,5
21264,1,576,7
21265,1,576,4
21271,3,575,11
21272,3,549,9
21273,1,576,2
21275,1,576,2
21276,6,576,19
21277,2,574,10
21281,1,576,9
21283,1,576,2
21284,1,576,5
21285,1,576,2
21286,1,576,7
21288,1,576,5
21289,1,576,1
21291,1,575,3
21293,2,576,2
21294,13,374,32
21295,1,571,3
21297,3,573,12
21299,1,575,8
21300,1,576,3
21301,4,389,32
21302,2,576,4
21304,1,576,5
